Year,CityName,Measure,PopulationCount,MeasureId,Short_Question_Text
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5778,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3436,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2177,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3772,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,7538,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,3564,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2995,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1228,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3515,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,6818,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1713,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2609,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,7125,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,6570,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4315,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1960,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,3247,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,3187,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,1288,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5145,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,1156,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3300,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5345,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,7270,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3484,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2724,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,6399,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3371,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1861,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2557,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1576,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,3048,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1691,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2139,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4430,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3020,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2365,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,3699,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2488,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1752,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3891,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3464,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1950,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2617,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1928,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,5592,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1900,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2180,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2716,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,6177,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,4232,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,4379,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,1370,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3912,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,4872,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5034,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,1631,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4884,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,1470,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2095,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3884,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,6866,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1704,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,4869,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,1700,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3513,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2478,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5887,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,6345,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1545,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2886,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3214,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2973,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,6353,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2955,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1497,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2922,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,3681,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5247,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,877,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1182,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,1309,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5143,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,3567,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5458,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,6867,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1545,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1870,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2703,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2451,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2166,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,1391,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2626,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1170,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,6805,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2304,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4381,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1314,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3735,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2796,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3803,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5369,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2235,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2545,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2688,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4865,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2545,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2624,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2962,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,7498,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,2223,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,1889,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,4090,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5133,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1716,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2701,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1798,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5049,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1055,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5221,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1053,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,3427,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4837,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2077,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,4870,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4016,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1928,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5427,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1672,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,389,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2829,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1516,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5254,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3009,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,4884,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4166,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,4832,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,3115,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3900,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,7052,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,2424,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,5143,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,1443,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5060,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1692,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1892,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3721,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2488,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2117,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1953,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3727,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1411,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1861,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1892,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,255,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3222,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1112,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,4768,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,1567,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2488,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,3513,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5093,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,1314,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5728,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2078,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2327,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4249,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2923,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5338,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2107,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,5338,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3498,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5313,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,4520,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,2397,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2451,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5658,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2716,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,3100,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2040,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,5093,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,7249,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,6547,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5407,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,11,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4754,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4256,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,6345,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1431,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2624,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4140,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,3682,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,6395,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3212,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4713,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5145,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1709,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4484,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1545,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2743,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4289,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1410,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4059,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,755,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2877,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2485,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,5262,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,5960,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1928,MHLTH,Mental Health
